North American Industry Classification System (NAICS),May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17
Non-durable goods industries,24433585,23318709,23722254,23949626,23976548,24015446,24373382,24291107,24363327,24720814,24299959,23794015,23885329,23878145,24126395,24296955,24453926,24904372,24842896,24957556,25246495,25683535,25661683,25399708,25582219,26020570,25923864,25513303,25305674,25261388,24879244,24351629,23471389,23997509,24356456,23786639,23898874,24302607,24455570,24110893,23713571,23425955,23427071,23383486,23408034,22654762,23042296,23365982,23497023,23559144,23738550,24191181,24159895,24246638,24857517,25257388,25649546,25190364,25227362,25296593,25229536
Food manufacturing [311] ,7108270,7104550,7134375,7104634,7023795,6954713,6971731,7153353,7140281,7366609,7328325,7222899,7213080,7095309,7068564,6979769,7067922,7436346,7394964,7302527,7465498,7502165,7646106,7779599,7675334,7908694,7807198,7836428,7897037,7949353,7790291,7919987,7842010,7835413,8131278,7771896,7642003,7913133,8116614,8158230,8142462,8107539,8155967,8131963,8277576,8274482,8212070,8228333,8374647,8347720,8468667,8599674,8576742,8539011,8601354,8640221,8636948,8557755,8698112,8570275,8464538
Beverage and tobacco product manufacturing [312] ,998039,992522,971851,975742,962176,963868,962998,955717,990883,985371,953257,955642,1001801,916607,937798,948346,984022,990019,990577,977110,977147,960930,974550,983563,986921,1015864,1033817,977109,971156,998742,993992,1009657,1007822,1015948,1030516,1046325,1044220,1036197,1043322,1028091,1044231,1025326,1026203,1024729,1044682,1060649,1056258,1054926,1068092,1083356,1085035,1153275,1109383,1085588,1111065,1135147,1140461,1138632,1134452,1123908,1139794
Textile mills [313] ,137165,139396,120747,116813,124130,115260,118498,106407,107939,105911,107355,112498,111538,113932,117902,113032,111773,116346,117658,111817,116750,114920,115655,120072,120148,116880,125700,123538,121977,127524,124403,127923,122036,130232,129112,128558,127092,132653,134193,136402,134978,130552,131787,132070,133937,131649,129496,125342,127320,128910,125488,130217,138330,138049,136380,138619,135095,130840,134739,137986,132561
Textile product mills [314] ,149200,143543,156440,119978,126582,124066,127117,122420,123569,124976,123908,134952,125501,124297,119531,129511,126459,126254,128130,123741,132410,128920,137704,139207,143762,149891,148943,149060,149333,153726,145034,161824,138977,137918,135192,146643,135112,137543,147038,138898,144942,142652,142413,147322,143872,149763,142539,138594,139958,138287,131795,135381,135190,134461,137880,143866,139701,144308,146389,132692,137806
Clothing manufacturing [315] ,219126,213487,224171,230404,219624,217645,209319,204927,195668,195638,175603,201528,213285,206553,196687,193715,194557,202467,196628,211670,204014,206012,203284,210801,214458,218988,225005,209826,226284,209556,215706,228826,214002,210370,188951,206012,192828,222042,202879,194882,193022,195554,205534,188581,194100,185616,184724,178830,177257,177249,173196,181644,177620,191574,186296,183964,176714,167355,174911,180579,180942
Leather and allied product manufacturing [316] ,28743,33112,26551,25724,29451,26175,27308,29631,31864,33110,37512,35280,37523,34297,34689,36509,32875,35547,35055,32055,35965,34765,35979,36671,35254,34747,35011,30475,35312,38722,37201,38825,29687,35765,35025,36228,37735,40138,45072,37137,34983,36572,38138,43557,36911,35374,33469,33644,31291,35181,37934,38918,37737,36539,37843,38465,37081,37961,38912,35654,36074
Paper manufacturing [322] ,2104672,2082818,1983184,2007362,1928049,1921169,1945632,1917213,1943638,1944063,1962862,1919113,1916229,1964338,1978080,1991366,1978354,1990705,2044506,2006984,1997942,2020356,1909766,2177742,2154763,2057827,2056399,2043634,2087481,2108260,2067399,2117030,2143988,2198191,2201527,2213022,2219678,2259367,2278702,2276419,2250931,2256336,2270741,2282532,2302887,2236764,2172959,2163365,2161346,2127381,2132975,2158499,2187218,2210711,2223485,2226605,2256922,2214056,2263001,2331619,2373453
Printing and related support activities [323] ,750314,752039,750061,753232,741179,753320,757703,729047,757279,771423,764399,766244,757947,736990,757366,755352,760427,752857,747781,748181,738326,752288,746136,742083,748257,750589,771009,742163,737520,746678,735383,729477,745851,740534,738330,748371,725611,756195,755499,752626,756506,757755,755374,765539,770974,720554,749091,735156,733121,727246,733611,744696,758307,727550,748510,747011,753036,738673,738982,733117,744893
Petroleum and coal product manufacturing [324] ,7150228,6243657,6714228,6969133,7157998,7280345,7392976,7270184,7206773,7240683,6961579,6480360,6164558,6520407,6803108,7109267,7101627,6961264,6941445,7280656,7354841,7669321,7497954,6878358,7235849,7330099,7194993,6935348,6552930,6508071,6467745,5577429,4894737,5314259,5422540,5039647,5447136,5383365,5302071,4940639,4630265,4394169,4310246,4203253,3976663,3434073,3903756,4300986,4220424,4215122,4281920,4429407,4409010,4410996,4662395,5051048,5401358,5084042,4994811,5202276,5025094
